index,id,zone,extracted_place,verdict,reason,title
"44287","igJb4jUoU18","title","Allahabad","CORRECT","","Allahabad Kumbh mela - India"
"46533","kE7sIbGRBOQ","prose","Tamil Nadu","CORRECT","","Thotti Palam (Hanging Bridge) in Mathur"
"46675","-xnfA4Hhl8Y","title","Mathura","CORRECT","","Indian revellers take part in the game of 'Huranga' at The Dauji Temple near Mathura"
"48046","1WV0ywKt1hg","title","Delhi","CORRECT","","Kiwifruit, Starfruit or Carambola, Imli or tamarind, dried jujube fruits or Ber in Delhi street"
"48810","ffi6dFl8tVo","playlist title","Delhi","CORRECT","","Life by the Yamuna - slum kids get time off near Delhi's river of environmental gloom"
"49727","TdPPKhnps20","title","Karnataka","CORRECT","","These people celebrate Diwali with 'Holy' cow dung, not crackers | Karnataka"
"50045","X3cvy1FblDk","prose","Kaziranga","CORRECT","","Barking Deer or Muntjac"
"50071","W7MP8Sp-1Sg","title","Corbett","CORRECT","","Macaque drinks water from Ramganga river in Corbett, Uttarakhand"
"50626","04_YwxADWxU","title","Lucknow","CORRECT","","Lucknow's famous Tunday Kababi and Sheermal"
"50997","iGNG1gSXXvM","title","Delhi","CORRECT","","Rosy Starling vocalizes on Delhi spring-time migration"
"51398","qdxPkOQe040","title","Jawai","CORRECT","","Raft of Brahminy ducks in blue waters of Jawai dam in Rajasthan"
"52383","qdWMp2jxjNU","title","Puri","ERROR","""Puri"" matched the actor Om Puri's surname, not the place Puri, Odisha","'Escape from Taliban' in making: Manisha Koirala, Om Puri and Ujjal Chattopadhyaya on the set"
"52867","Tg9Jad74dcQ","title","Rajasthan","CORRECT","","The mafia in Rajasthan: Aman Verma on Kachchi Sadak, Good to see female-oriented stories on TV!"
"53422","mIPrSpQBbFw","playlist title","Meghalaya","ERROR","Filming location is a Delhi festival stall; Meghalaya is the stall's theme, not where the footage was shot","Welcome to Meghalaya stall: North East Fest, Delhi"
"53732","RM4YoKLcVvA","playlist title","Jammu","ERROR","Content is specifically Kashmir valley; Jammu is a different sub-region of the same state","Winter season in Kashmir"
"54406","Mrj7TAdqFW8","prose","Jhansi","ERROR","Filming location is explicitly ""Garden of Five Senses in Delhi""; Jhansi was inferred from a cultural-origin descriptor (Bundelkhand), not the shoot location","Badhai dance of Madhya Pradesh"
"55102","_PQUWE7lWZY","title","Delhi","CORRECT","","Muslim devotees clustered at Jama Masjid for Eid's Namaz"
"55519","alY7-qbBjU8","title","Madhya Pradesh","CORRECT","","Visually challenged lone singer-entertainer at Alipur Palace in Madhya Pradesh - what a voice he has"
"55960","nB19LeyZmE0","prose","Arunachal Pradesh","CORRECT","","The Indian Wilderness - beyond the tiger - Wild India by wildfilmsindia"
"56046","MylKwtrL1Co","title","Yamunotri","CORRECT","","Gangotri - Yamunotri Yatra pilgrimage : archival footage"
"59032","7hZA936ehFg","playlist title","Arunachal Pradesh","CORRECT","","Fresh organic vegetables for sale in local market of Roing"
"59128","Ta_R4TtLwi4","playlist title","Arunachal Pradesh","CORRECT","","Hobo Molik or Mithun fight in Boleng during Unying Gi:Di festival, Arunachal Pradesh"
