index,id,title,bucket,rule
5061,"XPq8az35eWY","Eurasian Hoopoe seen here in the Himalaya has a wide range across Europe and rest of the world",gap-2b,"non-India term: Europe"
5114,"2dKv7OqJbJQ","Boman Irani:-  if I tell you then this film will not be suspense ""My Wife Murder"".",reject,"bollywood name: Irani"
5132,"cFCt9J8XhxM","Rakhi Sawant, Alka Yagnik, Alisha Chinoy, Shreya Ghoshal, Mona Singh | At Saawariya Premiere",reject,"bollywood name: Sawant"
5173,"Qy1DLgvCASs","Tusshar Kapoor, Emraan Hashmi with Ashwini Chaudhary photoshoot on location film Good Boy Bad Boy",reject,"bollywood name: Kapoor"
5219,"NN8sGjntRgg","Shilpa Shetty and Shamita Shetty working together in the film Fareb with Manoj Bajpayee,",reject,"bollywood name: Shetty"
5255,"Se0tWzmXnRA","Shahrukh Khan narrates how the film 'Main Hoon Na' happen",reject,"bollywood name: Khan"
5344,"mv3oIbXhRYE","Early 2000s popular Indian pop band 'Aasma' with Bappi Lahiri",reject,"bollywood name: Lahiri"
5361,"ImS1ReBXOO4","Hansal Mehta: we needed some fresh cast for this film ""Anjaan""",reject,"bollywood name: Mehta"
5384,"x3PYngod9Do","Tejaswini Kolhapure in a pink dress: The censors found our film very violent. Bad words were used!",reject,"bollywood name: Kolhapure"
5433,"xzyxAQxbMCY","Deadly (and cute) little killler neolas are the most notorious family living at WIlderness Orchard!",ambiguous,"no rule fired"
5438,"4_2rQGUuwsw","India's Richest: Mukesh Ambani with wife Nita Ambani attend Eklavya: The Royal Guard Premiere",reject,"bollywood name: Mukesh"
5511,"vZATt3xC6tw","Verditer flycatcher taking a dip in a stream at wildfilmsindia Motidhar sanctuary",subject,"species/subject term: Flycatcher"
5732,"pnlhIQobUMc","Exploring the Maasai Mara: The splendor of waterbucks",gap-2b,"non-India term: Maasai"
5771,"lVPfYUgyuho","सलमान खान, प्रियंका चोपड़ा, अक्षय कुमार डेविड डी के साथ मुझसे शादी करोगी का केक काटा",subject,"no proper-noun token present"
5974,"fYj4Gl_sYUY","Indian Everest Expedition 1968: HMI motto reads - Make (you) Climb from Peak to Peak",gap-2a,"candidate place token: Everest"
5981,"Pzq0tvbZnXg","Boat ride on Yamuna River near Sri Radha Raman Mandir Vrindavan during Holi",region,"region term: Yamuna"
5994,"elbxiLCF_J4","Govinda; it was my bad time to find any movie but luckily I got film Partner with Salman Khan",reject,"bollywood name: Khan"
5997,"Z1JUGqlwcyQ","Sunshine bird: African wattled lapwing's radiant beauty",gap-2b,"non-India term: African"
6007,"rtR8h9uvApI","Hippo rests heavy head on friend in African oasis",gap-2b,"non-India term: African"
6043,"p1HOGgQuBnE","Brahminy Myna is so-named for its little choti at the back of its head - Black-headed Myna",gap-2a,"candidate place token: Blackheaded"
6055,"vaoWqvrwpCU","Shah Rukh Khan on IPL: I used myself, paal-pos ke apne aap ko bada ho ke itna bada actor banaya hain",reject,"bollywood name: Khan"
6076,"t1gs19JEjzQ","Giant African Giraffe towers over Acacia tree at Masai Mara National Reserve in Tanzania, Africa",gap-2b,"non-India term: Tanzania"
6097,"R1aYoFj8ZcM","Lappet-faced vultures soaking up the African sun",gap-2b,"non-India term: African"
6114,"2W3fTK9W_rA","Regal Serenity: Lion's majesty in Maasai Mara's golden Savanna",gap-2b,"non-India term: Maasai"
6130,"ebtQwiaPI7c","Grazing gracefully: Impalas of the Maasai Mara - A serene safari experience",gap-2b,"non-India term: Maasai"
6193,"kgs4Sp_BoGQ","Tabu, Dia Mirza, Soha Ali Khan and Bappi Lahiri- Campaign for Cause Of Right To Child Education",reject,"bollywood name: Khan"
6463,"Gr0OYBeq6aU","Amitabh Bachchan: When we were small, we played pranks on others, I'm 66, that was a long time ago!",reject,"bollywood name: Bachchan"
6530,"7KdL0tEDue4","Silver filigree and jewellery shops on bazaar street in Karimnagar, customers pay for silver in cash",gap-2a,"candidate place token: Karimnagar"
6721,"zGtJVi8pVpc","Kailash Kher arrives at launch of Album Umeed by Aditya Thackeray: Bollywood celebrates politicians?",reject,"bollywood name: Kher"
6727,"HMn3P6reLGk","Bal Thackeray: ""Mushkil hai Amitabh ji se milna!""",reject,"bollywood name: Thackeray"
6887,"Tk-ZQldXyjg","Hrishitaa Bhatt in white top at Ahista Ahista premiere: I'm going to watch film as part of audience!",reject,"bollywood name: Bhatt"
7016,"UYRsACt-Fv0","Interview with Aishwarya Rai on modelling and winning Miss World #bollywood #aishwaryaraibachchan",reject,"bollywood name: Rai"
7026,"MJwAecH4dPY","Large Cabbage White butterfly in the Himalaya",region,"region term: Himalaya"
7060,"fGYbXO9d68Y","Raj Sippy: ""Anil Kapoor is a lovely lovely human being!""",reject,"bollywood name: Kapoor"
7173,"sm6xI1H_N8c","'Dola He Dola', famous Assamese song sung by Bhupen Hazarika, Husain: When Bhupen sings, he paints!",reject,"bollywood name: Husain"
7312,"U042SJ2hZTM","Daisy Shah ramp walks as a struggling model before she became an actress",reject,"bollywood name: Shah"
7345,"GozNcqhGL3k","Suniel Shetty a sharp businessman, invests in fashion industry: I can stand on my two little feet!",reject,"bollywood name: Shetty"
7359,"ZzpBYmrJGhI","Snow Leopard mum with her cubs walk gingerly and super carefully on a snowy rocky cliff-edge",subject,"species/subject term: Leopard"
7378,"R5iZv-2n3MU","Snow Leopard mother leads the way on a hunt, while her two little cubs follow, learning the ropes",subject,"species/subject term: Leopard"
7611,"mzPg9DnXs14","Snow Leopard hunts Bharal, both fall over cliff hundreds of feet onto rock below! Greatest hunt ever",subject,"species/subject term: Bharal"
7688,"JxKWRG4lvi8","Army personnel salute the Indian nation at Republic Day Rehearsal 2023",festival,"festival term: Republic Day"
7790,"kgpnbFOwWhk","Shweta: Mallika Sherawat said she kissed 17 times in Khwaish, Payal Rohatgi breaks record 32 kisses",reject,"bollywood name: Shweta"
7810,"fgcJd5GRAE4","Rajeshwari Sachdev: I personally love emerald, waiting for someone to tell me to wear it as good",reject,"bollywood name: Sachdev"
7823,"hpfTruTAfcw","Katrina Kaif and Salman Khan hang out, Amitabh Bachchan speak about Vikram Phadnis Collection",reject,"bollywood name: Khan"
7890,"XTA5AqlZynM","Salman Khan,  Rani Mukherjee, Amitabh Bachchan, John Abraham at Baabul film promotion fashion show",reject,"bollywood name: Khan"
7907,"yS0FNwTA74c","Abhishek Bachchan: We're actors, here to entertain audiences. You have to do films that inspire you!",reject,"bollywood name: Bachchan"
7990,"FHT_QXAkEWw","Jaspinder Narula shares some valuable singing tips",reject,"bollywood name: Narula"
7994,"chUwiGOKhNQ","Woman smoking hookah: Rajasthani woman from Banjara community smokes  Hubble-bubble hookah",gap-2a,"candidate place token: Banjara"
8041,"EG8l-ECSM8g","Crimson-breasted Barbet has dug this One Rupee sized hole in a Persian Lilac tree trunk to nest in",gap-2a,"candidate place token: Rupee"
8060,"Kr3drk1x70Q","Karan Johar: Rang De Basanti is the most trend-setting film as the music is real, no lip sync",reject,"bollywood name: Johar"
8141,"qmsF1XyNREU","Common Hawk Cuckoo or Brainfever Bird looks more like a raptor. Hence it's name Hawk Cuckoo!",gap-2a,"candidate place token: Brainfever"
8155,"LVQ65rJtIpY","Women and families eat daal and roti near Safdarjung Hospital : Chapati - lentils for the masses",gap-2a,"candidate place token: Safdarjung"
8163,"3n7SG6r1Iwo","""Kareena Kapoor has no work"", says Shweta Kawaatra: One from the archives",reject,"bollywood name: Kapoor"
8307,"0sdSAAfuw7Q","Manisha Koirala on Anwar: Media exploits things for own benefit, I'm doing nothing much right now",reject,"bollywood name: Koirala"
8313,"odB5tVxmaS4","Aishwarya Rai: ""For me biggest challenge was delivering performance that would satisfy my director""",reject,"bollywood name: Rai"
8315,"3FWAhIZxM7U","Jaya Bachchan shouts at reporter: ""Panic mat create karo! Hindustan sara madhya varg hai!""",reject,"bollywood name: Bachchan"
8389,"TqxWUHqaqu0","Riya Sen: ""What nonsense, I am not wishing Shah Rukh Khan on his birthday! Here for cancer cause...",reject,"bollywood name: Khan"
8513,"nSG7Ahg6FCo","Celina Jaitly: The chor police was funny, don Carlos is from mafia. Chunky from Gurkha khukri gang",reject,"bollywood name: Celina"
8528,"aTGpD0CPW1k","Aishwarya Rai in Taal: Naresh Malhotra: Jab taal-mel theek hota hain, tab Taal jaisi film banti hain",reject,"bollywood name: Rai"
8558,"p2j3nnSOCrU","Shilpa Shetty hosts Big Boss 2, wears purple dress with shimmery silver edging,  dangly ear-rings",reject,"bollywood name: Shetty"
8572,"P56sxSzEOhU","When Salman Khan asked Hussain to paint on a bedsheet",reject,"bollywood name: Khan"
8637,"klEDHtw90kg","Shaan on reality show 'Sare gama pa': My Hindi was bad, has improved with show, as has confidence!",reject,"format keyword: reality show"
8658,"FIvjKKZdxsk","Shiney Ahuja: Come to set on time, work with your heart, I really like Soha a lot, chemistry is good",reject,"bollywood name: Ahuja"
8742,"Qz_KH5jjcIQ","Sunil Shetty on Firoz A Nadiadwala: Fantastic producer, films are lavish, makes films with passion!",reject,"bollywood name: Shetty"
8883,"BnoYitUx08o","Vinod Khanna and Randip Hooda at the premiere party for 'Risk'",reject,"bollywood name: Khanna"
8982,"k7SZaosA7Us","Preity Zinta - all dimpled - congratulates Aamir Khan for his film Lagaan's Oscar nomination",reject,"bollywood name: Khan"
8999,"wYfqMogi5BQ","Sleepy Owl of Sarojini Nagar - dropping off to sleep in the daytime!",gap-2a,"candidate place token: Sarojini"
9032,"3qacOOtC48w","Dilip Tahil on Saif Ali Khan - Amrita Singh marriage : She was more experienced in industry than him",reject,"bollywood name: Khan"
9128,"-doPrTLApxw","Salman Khan and Chunky Pandey arrive at Saawariya premiere, media wallahs screm 'Salman Salman'!",reject,"bollywood name: Khan"
9167,"3HhpCsO-aGQ","Simi Garewal on Raj Kapoor: ""For 14 days, we went to same location until we got the perfect sunset""",reject,"bollywood name: Kapoor"
9181,"XKcg8PfwoIc","Ravindra Jain on Raj Kapoor and Ram Tera Ganga Maily",reject,"bollywood name: Kapoor"
9193,"qxIB0OxMnJs","Raima Sen : ""We are small town girls, we had to wear these costumes. It was very cold in January""",reject,"bollywood name: Sen"
9273,"qT0JIFols6Y","Lara Dutta in orange salwar kameez suit, on Human trafficing, apologizes for traffic from Film City",reject,"bollywood name: Dutta"
9347,"oq-a9rLrrqY","Juhi Chawla at premiere of film Ram Jaane",reject,"bollywood name: Chawla"
9379,"-16ysPazo4Y","Common Buzzard watches the landscape from a grassy hillside",subject,"species/subject term: Buzzard"
9449,"CQ7ctJo-p78","Preeti : ""If I have to speak about Glen I have to talk about Ankush too' | Film Jaane Hoga Kya",reject,"bollywood name: Preeti"
9519,"QuJHyracoYE","Ranbir Kapoor asks the reporter, 'What do you want to know about what happens with me and Deepika?'",reject,"bollywood name: Kapoor"
9546,"QCdthCaNBzg","Zarina Wahab on Ravi Kishan friendship and cinema "" Ravi Kishan hamara bahut acha dost raha hai""",reject,"bollywood name: Wahab"
9549,"wut0JqYpmu8","Shiney Ahuja on Zindaggi Rocks ""ya ek love story hai Doctor aur rockstar ke""",reject,"bollywood name: Ahuja"
9576,"xb0YRXtrv3Q","Boman Irani on Don 2: ""Purani Don ki yaadein aur nayi Don ka style, dono ka perfect combination hai""",reject,"bollywood name: Irani"
9635,"sxTuYcRCwFk","Irfan Malik & Ali Hasan at a party for The Great Indian Laughter Challenge Dwitya: ""Remove ghoras!""",reject,"bollywood name: Malik"
9711,"TNdyhqZD9wc","Preeti Jhangiani : Akshay Kumar gets up at 5 o'clock whether shooting or not, doesn't drink or smoke",reject,"bollywood name: Jhangiani"
9829,"UsqadfKMLgw","Sanjay Dutt and Asha Bhosle jam together: Who sings better?",reject,"bollywood name: Dutt"
9834,"DGvHA0twQYQ","Kavita Krishnamurthy credits Laxmikant–Pyarelal for introducing her to Subhash-ji, playback career",reject,"bollywood name: Subhash"
9848,"-Eoy1WA3Njg","Shreya Ghoshal not even 16 when she did Devdas : ""Sanjay Bhansali heard me singing from two inches",reject,"bollywood name: Bhansali"
9859,"gGLuV98gbVs","Ustad Bismillah Khan - Rare video of the musical doyen discussing his music with Himesh Reshammiya",reject,"bollywood name: Khan"
9884,"LSxnRN_fKPQ","Beautiful and calming time-lapse of clouds moving across Himalayan col, to distant valley yonder",region,"region term: Himalayan"
9937,"nEFohrV5J3s","CRPF tableau rolls in with Sardar Vallabhai Patel statue for Republic Day 2021",reject,"bollywood name: Sardar"
9963,"n7KBmGvyfuA","Escaping the jaws of death: Moth caught by an Agama manages to escape",subject,"species/subject term: Moth"
9995,"30hhXKAybXg","Migrant workers lunge for packaged drinking water before boarding train to go home",subject,"no proper-noun token present"
10096,"UyvkcrYVZYM","Farmers harvest wheat near national highway in Bangladesh",gap-2b,"non-India term: Bangladesh"
10132,"C-xYA-DULFs","Congregational prayer in Chittagong, Bangladesh - coordinated devotion",gap-2b,"non-India term: Bangladesh"
10218,"Tu6bvc_Sl6Q","How Bangladeshi paratha is made - different texture and taste from India",gap-2b,"non-India term: Bangladeshi"
10272,"bbXl5gXsHDU","Private video",reject,"format: private video"
10546,"2haZPfrYNOQ","Carnatic music works its magic - Mahashivratri in India",festival,"festival term: Mahashivratri"
10638,"herQFcGLyME","It's very important that our mind serves the life that we lead: Sadhguru Wisdom",reject,"bollywood name: Sadhguru"
10701,"_4HYe7hlc8k","Adiyogi and his vision for humanity, Yoga: Sadhguru Jaggi Vasudev",reject,"bollywood name: Sadhguru"
10796,"DAACcqU9cfs","A photo collection of the father of the nation: Mahatma Gandhi",ambiguous,"public figure ""Gandhi"" without format keyword"
10817,"B3a3p5qm75I","Human biology explained at Natural History Museum, London",gap-2b,"non-India term: London"
10843,"ZOMP160AaYw","Filmmaker Rituparno Ghosh released the English translation of Bengali novel 'Dahan'",reject,"bollywood name: Ghosh"
10982,"WwSob0LNNJM","Masked dancers perform at Druk Wangyel Festival 2014 : Bhutan",gap-2b,"non-India term: Bhutan"
10997,"cZmurDChvNU","Tala - the hydropower district in Bhutan",gap-2b,"non-India term: Bhutan"
11116,"3iKN_R674iA","Making of dim sum with bitter buckwheat at Bhutan week",gap-2b,"non-India term: Bhutan"
11318,"fNyzDwzEUs8","Afghani women push trolley full of grain sacks",gap-2b,"non-India term: Afghani"
11400,"wpbc1ZeQkHU","Afghanistan under Taliban Rule - Archival Footage. How will the current Taliban reign compare?",gap-2b,"non-India term: Afghanistan"
11497,"exvKs4C8EGM","Mongolia : fly over town at the edge of the Gobi desert",gap-2b,"non-India term: Mongolia"
11547,"i-VxMbyxIF0","Rishi Vishwamitra meets King Dasharatha : Ramlila  Day 3 (2017)",reject,"bollywood name: Rishi"
11608,"x1wcj8reIYg","The Times of India Newspaper being printed in India a few decades ago",gap-2a,"candidate place token: Newspaper"
11660,"jftQCPXA1JY","Computerized automobile designing in India",ambiguous,"no rule fired"
12079,"wd55qCVugJ0","Akbar Khan, ""I have been a keen student of history""",reject,"bollywood name: Khan"
12091,"Bvb0HGb6pUw","Hrithik Roshan parody visits Lallan in Chala Lallan Hero Banne",reject,"bollywood name: Roshan"
12240,"yoY2owdY3Y4","Online astrology in India",ambiguous,"no rule fired"
12321,"QvmeXMDDLzk","Video gaming consoles - Sony Playstation, Microsoft XBox, Dreamcast review",gap-2a,"candidate place token: Playstation"
12436,"-s0LZ8nqEpo","Roadside cooking by homeless people in India",ambiguous,"no rule fired"
12465,"0SEaCb2ijZQ","Princess Diana tribute by Sonia Gandhi, a day after her death",ambiguous,"public figure ""Gandhi"" without format keyword"
12593,"R-sMdEX9L5w","India and China try to mend their troubled relations: Archive Footage",gap-2b,"non-India term: China"
12614,"DQEJeMQUGZw","KR Narayanan visits Mother Teresa in her final days at BM Birla Heart Research Centre",ambiguous,"public figure ""Narayanan"" without format keyword"
12628,"LfvbfNCGOhs","American composer Philip Glass: ""I began playing flute when I was six""",gap-2b,"non-India term: American"
12636,"W7notE_RHm0","Amjad Ali Khan welcomes Dalai Lama at World Festival of Sacred Music",reject,"bollywood name: Khan"
12698,"YwX0koRllho","Healthy diet plans for Indians",ambiguous,"no rule fired"
12710,"sb2HgeMDDkk","NGO, Helpage India and Rahat organised 'Active Ageing For Healthy Living'",gap-2a,"candidate place token: Rahat"
12791,"y56iltGNpl8","Revathi, Indian film actress speaks about her directorial debut film Mitr, My Friend",gap-2a,"candidate place token: Mitr"
12855,"Cac2l7RMVdQ","Sridevi : MC says Mister India should have been called Miss India because of Sridevi",reject,"bollywood name: Sridevi"
12902,"DiC7QVc7VfQ","Shammi Kapoor on his film 'Manoranjan'",reject,"bollywood name: Kapoor"
12932,"llWFzRJWZjM","Hot male Sabeer Bhatia : Hotmail was a web-based email system",gap-2a,"candidate place token: Bhatia"
12955,"K5nK81H-JZc","APJ Abdul Kalam speaks at opening ceremony of Asia's Largest Auto Expo 2004",ambiguous,"public figure ""Abdul Kalam"" without format keyword"
12977,"AzTD3ixHwlo","SRK speaks: a younger Shah Rukh Khan on his early years",reject,"bollywood name: Khan"
